date,customer_id,time_on_site [Minutes],clicks_in_site,Days_Since_Last_Purchase,Average_Purchase_Frequency,product_category_502,product_category_503,product_category_504,product_category_505,product_category_506,product_category_507,product_category_508,product_category_509,product_category_510,product_category_511,product_category_512,product_category_513,product_category_514,product_category_515,payment_method_paypal
2018-11-23,45785,-0.4453056618389242,-0.6747966805104159,0.4437569465766065,0.008354012370197809,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-11-23,22563,-0.4002668520974836,-0.7494452906478599,0.4437569465766065,-0.6243908312490956,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-23,55945,-0.3492670234196758,0.071689420864025,0.4437569465766065,-0.6243908312490956,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
2018-11-20,56744,-0.3671500802287772,1.5646616236129067,1.5409625288793154,-0.8353057791221933,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2018-11-20,51466,-0.36516307391665487,-0.5254994602355277,1.5409625288793154,-0.8353057791221933,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-11-20,22607,-0.19096885388725945,-0.07760779941086318,1.5409625288793154,-0.8353057791221933,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-25,54376,-0.4174875734692109,-0.3762022399606395,-0.28771344162519935,-0.30801840943944886,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2018-11-24,47352,-0.381721459851008,-0.7494452906478599,0.07802175247570359,0.008354012370197809,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-23,22812,-0.22276095488121753,-0.4508508500980836,0.4437569465766065,0.6410988559894911,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2018-11-21,50515,-0.40490320015910247,-0.7494452906478599,1.1752273347784123,-0.7825770421539189,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2018-11-23,47005,-0.19096885388725945,1.0421213526507982,0.4437569465766065,-0.6243908312490956,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-23,34336,-0.23799466994082244,2.3111477249873476,0.4437569465766065,0.008354012370197809,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-11-22,11654,-0.2803841379327666,-0.6747966805104159,0.8094921406775095,-0.7147829517661375,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2018-11-22,56754,-0.20752723982161264,-0.15225640954830727,0.8094921406775095,-0.7147829517661375,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2018-11-29,30786,-0.4102018836580955,-0.5254994602355277,-1.7506542180288112,-0.30801840943944886,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2018-11-23,11916,-0.43139661765406756,-0.30155362982319545,0.4437569465766065,-0.6243908312490956,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-20,46947,-0.2307089801297071,-0.7494452906478599,1.5409625288793154,-0.8353057791221933,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-11-26,29556,-0.28634515686913375,-0.5254994602355277,-0.6534486357261023,0.008354012370197809,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-11-22,38854,-0.3048905491156093,-0.22690501968575136,0.8094921406775095,0.16654022327502113,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2018-11-28,54127,3.032617719812617,-0.7494452906478599,-1.384919023927908,2.539333386847371,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2018-11-23,27049,-0.4678250667096446,-0.7494452906478599,0.4437569465766065,0.008354012370197809,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2018-11-21,25698,-0.3459553462328052,-0.4508508500980836,1.1752273347784123,-0.7825770421539189,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
